arm,regime,seed,onv,delivered,hit_rate,tard_mean,tard_p95,energy_per_task,stranded,frozen,collisions
fifo,wave,85,1026.2,28,0.8667,114.88,218,,0,0,0
fifo,wave,82,707.9,28,0.8438,180.9,337,,0,0,0
fifo,wave,86,475.6,29,0.8704,177.43,218,,0,0,0
fifo,wave,87,478.5,19,0.7692,24.11,45,,0,0,0
fifo,wave,88,987.4,27,0.8367,83.5,149,,0,2,0
fifo,wave,90,711.6,28,0.8824,97.33,164,,0,0,0
fifo,wave,94,728.8,27,0.9273,161.75,247,,0,0,0
fifo,wave,92,524.2,24,0.9268,169.0,167,,0,0,0
fifo,wave,91,461.1,27,0.8837,180.6,220,,0,0,0
fifo,wave,93,496.4,22,0.8378,235.17,378,,0,0,0
fifo,wave,89,541.7,12,0.7,212.67,423,,0,0,0
fifo,wave,95,495.7,24,0.8864,201.8,222,,0,0,0
fifo,wave,96,365.5,20,0.7941,74.86,155,,0,0,0
fifo,wave,97,308.4,17,0.75,67.0,106,,0,0,0
fifo,wave,98,467.1,17,0.8974,80.5,45,,0,0,0
fifo,wave,99,439.8,18,0.8421,70.33,110,,0,0,0
fifo,wave,101,537.6,19,0.8649,140.4,175,,0,0,0
fifo,wave,102,648.3,26,0.9111,123.75,119,,0,0,0
fifo,wave,100,290.9,16,0.8462,93.25,104,,0,0,0
fifo,wave,103,301.2,22,0.8387,155.8,206,,0,0,0
fifo,wave,104,230.0,18,0.9167,116.5,105,,0,0,0
fifo,wave,105,364.7,18,0.9355,57.5,42,,0,0,0
fifo,wave,108,232.9,17,0.8571,48.0,49,,0,0,0
fifo,wave,106,644.7,27,0.8605,132.33,299,,0,0,0
fifo,wave,107,442.1,20,0.9189,99.33,26,,0,0,0
fifo,wave,109,349.2,19,0.9286,78.0,41,,0,0,0
fifo,wave,110,247.0,20,0.8966,11.33,5,,0,0,0
fifo,wave,112,109.2,10,0.9,33.5,14,,0,0,0
fifo,wave,111,410.8,16,0.9333,129.0,129,,0,0,0
fifo,wave,113,394.2,15,0.931,38.5,33,,0,0,0
fifo,wave,117,260.8,9,0.8462,49.5,9,,0,0,0
fifo,wave,116,145.5,5,1.0,0.0,0,,0,0,0
fifo,wave,115,577.2,14,0.9,80.5,31,,0,0,0
fifo,wave,118,177.9,9,0.9333,19.0,19,,0,0,0
fifo,wave,114,96.7,13,0.8182,35.25,40,,0,0,0
fifo,wave,119,138.2,11,0.9231,64.0,64,,0,0,0
fifo,wave,120,366.2,13,1.0,0.0,0,,0,0,0
fifo,wave,122,505.3,19,0.9231,23.5,1,,0,0,0
fifo,wave,121,436.3,15,0.8947,25.0,4,,0,0,0
fifo,wave,124,232.5,12,0.9286,26.0,26,,0,0,0
fifo,wave,127,155.8,9,0.8824,50.0,19,,0,0,0
fifo,wave,128,315.0,11,0.9545,18.0,18,,0,0,0
fifo,wave,123,313.9,18,0.9333,125.0,115,,0,0,0
fifo,wave,125,351.2,17,0.9091,96.5,48,,0,0,0
fifo,wave,126,424.9,23,0.814,81.0,117,,0,0,0
fifo,wave,129,472.2,17,0.9189,62.67,9,,0,0,0
fifo,wave,130,746.7,17,0.9512,81.5,2,,0,0,0
fifo,wave,133,279.8,14,0.8947,31.5,29,,0,0,0
fifo,wave,134,307.1,16,0.9259,50.0,16,,0,0,0
fifo,wave,132,333.3,20,0.931,169.0,131,,0,0,0
fifo,wave,135,455.2,24,0.9143,143.67,195,,0,0,0
fifo,wave,131,166.2,9,1.0,0.0,0,,0,0,0
fifo,wave,136,352.4,17,0.931,113.0,109,,0,0,0
fifo,wave,137,388.7,19,0.8182,61.33,124,,0,0,0
fifo,wave,139,277.3,12,0.8696,47.0,67,,0,0,0
fifo,wave,138,334.7,19,0.8788,97.0,96,,0,0,0
fifo,wave,140,282.4,15,0.9333,398.5,373,,0,1,0
fifo,wave,144,285.5,18,0.8571,77.5,86,,0,0,0
fifo,wave,142,543.5,24,0.907,157.0,181,,0,0,0
fifo,wave,143,497.6,21,0.9,136.25,141,,0,0,0
fifo,wave,141,512.4,28,0.8571,107.33,198,,0,0,0
fifo,stream,1,342.0,28,0.7368,51.8,85,,0,0,0
fifo,stream,2,433.4,40,0.5455,49.04,99,,0,0,0
fifo,stream,3,646.6,34,0.6842,57.33,105,,0,0,0
fifo,stream,4,473.6,20,0.9412,14.5,4,,0,0,0
fifo,stream,6,414.5,29,0.5952,51.47,115,,0,0,0
fifo,stream,5,516.6,21,0.7419,48.5,78,,0,0,0
fifo,stream,7,368.0,36,0.549,44.74,102,,0,0,0
fifo,stream,8,240.3,19,0.6562,56.36,111,,0,0,0
fifo,stream,9,770.8,37,0.6863,47.38,107,,0,0,0
fifo,stream,11,560.1,40,0.7143,58.67,123,,0,0,0
fifo,stream,10,467.0,31,0.5645,63.59,109,,0,0,0
fifo,stream,12,395.9,31,0.3651,79.0,165,,0,0,0
fifo,stream,14,673.3,36,0.5938,55.12,148,,0,0,0
fifo,stream,13,623.5,40,0.7049,47.0,76,,0,0,0
fifo,stream,15,674.9,33,0.7885,34.45,72,,0,1,0
fifo,stream,16,369.4,40,0.5493,59.12,139,,0,0,0
fifo,stream,17,598.8,43,0.662,65.71,157,,0,0,0
fifo,stream,18,561.7,36,0.3867,92.04,195,,0,0,0
fifo,stream,19,543.4,36,0.5139,73.29,174,,0,0,0
fifo,stream,20,352.9,36,0.377,118.18,241,,0,0,0
fifo,stream,23,512.7,35,0.2949,94.42,198,,0,0,0
fifo,stream,21,358.9,27,0.4667,89.06,167,,0,0,0
fifo,stream,22,501.1,38,0.6094,48.96,122,,0,1,0
fifo,stream,24,476.3,38,0.5082,52.73,153,,0,0,0
fifo,stream,25,404.8,31,0.4107,71.06,227,,0,0,0
fifo,stream,27,303.6,37,0.4306,75.12,181,,0,0,0
fifo,stream,26,229.8,32,0.3684,154.31,323,,0,0,0
fifo,stream,28,201.9,34,0.4394,84.54,170,,0,0,0
fifo,stream,30,456.1,35,0.5294,52.88,134,,0,0,0
fifo,stream,29,498.3,36,0.3467,95.35,188,,0,0,0
fifo,stream,31,429.6,35,0.5616,102.72,182,,0,0,0
fifo,stream,32,424.9,33,0.5797,55.14,142,,0,0,0
fifo,stream,34,496.9,33,0.4478,70.81,174,,0,0,0
fifo,stream,33,745.8,39,0.4444,64.88,159,,0,0,0
fifo,stream,35,576.2,37,0.5758,66.79,163,,0,0,0
fifo,stream,36,666.4,40,0.6087,55.56,106,,0,0,0
fifo,stream,38,577.1,29,0.4127,58.35,138,,0,0,0
fifo,stream,37,294.9,27,0.5,98.77,177,,0,0,0
fifo,stream,39,424.7,36,0.425,101.43,191,,0,0,0
fifo,stream,40,578.6,37,0.5769,68.09,151,,0,0,0
fifo,stream,41,449.1,34,0.3582,102.47,237,,0,0,0
fifo,stream,42,359.8,37,0.4634,72.36,144,,0,0,0
fifo,stream,44,186.6,21,0.475,135.14,346,,0,0,0
fifo,stream,43,541.5,38,0.4932,64.14,152,,0,0,0
fifo,stream,46,472.2,33,0.4605,96.83,212,,0,1,0
fifo,stream,45,534.2,42,0.5143,85.41,183,,0,0,0
fifo,stream,47,286.9,30,0.4912,153.45,246,,0,0,0
fifo,stream,48,198.8,27,0.3929,150.21,265,,0,0,0
fifo,stream,49,774.1,48,0.7176,57.33,119,,0,0,0
fifo,stream,50,314.7,24,0.4182,97.16,220,,0,0,0
fifo,stream,51,402.7,41,0.4328,93.16,186,,0,0,0
fifo,stream,52,333.7,29,0.3137,101.94,199,,0,0,0
fifo,stream,53,760.7,32,0.3562,83.51,190,,0,0,0
fifo,stream,54,541.8,40,0.3951,84.78,174,,0,0,0
fifo,stream,55,189.5,37,0.2969,78.09,160,,0,0,0
fifo,stream,56,265.9,32,0.2881,93.67,188,,0,0,0
fifo,stream,57,360.5,34,0.4512,65.24,148,,0,0,0
fifo,stream,58,660.3,36,0.6774,57.15,124,,0,0,0
fifo,stream,59,985.2,42,0.7439,41.33,91,,0,0,0
fifo,stream,60,295.1,37,0.4375,78.31,183,,0,0,0
fifo,stream,62,425.7,40,0.6034,60.65,126,,0,0,0
fifo,stream,61,559.5,40,0.5,62.29,130,,0,0,0
fifo,stream,64,210.9,32,0.375,94.53,172,,0,0,0
fifo,stream,63,107.7,18,0.3571,144.5,273,,0,0,0
fifo,stream,65,247.8,40,0.4058,80.27,200,,0,0,0
fifo,stream,66,475.9,26,0.5962,65.71,146,,0,1,0
fifo,stream,67,337.8,34,0.5161,70.4,172,,0,0,0
fifo,stream,68,518.9,43,0.5593,51.73,92,,0,0,0
fifo,stream,69,305.7,41,0.5254,57.36,112,,0,0,0
fifo,stream,70,263.5,37,0.3455,72.97,143,,0,0,0
fifo,stream,72,563.7,35,0.8214,31.4,50,,0,0,0
fifo,stream,71,329.7,41,0.4677,60.39,147,,0,0,0
fifo,stream,73,504.6,34,0.8,32.4,37,,0,0,0
fifo,stream,74,506.5,37,0.6415,47.37,100,,0,0,0
fifo,stream,75,384.7,41,0.5,48.09,125,,0,0,0
fifo,stream,76,526.5,41,0.7241,42.06,144,,0,0,0
fifo,stream,78,597.7,30,0.9,39.0,27,,0,0,0
fifo,stream,77,406.2,33,0.6364,52.7,107,,0,0,0
fifo,stream,80,300.1,28,0.7027,11.45,23,,0,0,0
fifo,stream,79,381.2,32,0.5686,72.05,156,,0,0,0
fifo,stream,81,388.2,32,0.6531,71.82,138,,0,0,0
fifo,stream,82,412.0,31,0.8293,24.86,36,,0,0,0
fifo,stream,83,371.0,29,0.8293,43.43,55,,0,0,0
fifo,stream,84,675.0,32,0.7556,50.0,94,,0,0,0
fifo,stream,85,536.4,31,0.7083,27.36,62,,0,0,0
fifo,stream,86,383.4,22,0.7308,29.0,42,,0,0,0
fifo,stream,87,390.0,41,0.6441,66.29,124,,0,0,0
fifo,stream,88,455.7,28,0.7436,31.2,50,,0,1,0
fifo,stream,90,278.3,24,0.8,7.4,9,,0,0,0
fifo,stream,89,109.2,29,0.2979,135.18,230,,0,0,0
fifo,stream,91,242.6,15,0.8182,24.5,28,,0,0,0
fifo,stream,92,291.6,28,0.8182,36.83,66,,0,0,0
fifo,stream,93,233.0,21,0.84,27.5,32,,0,0,0
fifo,stream,94,373.2,28,0.8421,47.17,51,,0,0,0
fifo,stream,96,381.3,21,0.9333,22.5,16,,0,0,0
fifo,stream,95,472.2,31,0.7292,45.46,76,,0,0,0
fifo,stream,98,199.5,15,0.875,24.0,18,,0,0,0
fifo,stream,97,137.5,15,0.7778,13.0,15,,0,0,0
fifo,stream,100,406.7,23,0.7333,15.88,23,,0,0,0
fifo,stream,101,253.4,16,0.85,60.0,83,,0,0,0
fifo,stream,99,492.5,14,0.76,66.17,137,,0,0,0
fifo,stream,102,179.0,19,0.72,59.86,82,,0,0,0
fifo,stream,104,181.0,13,0.9333,2.0,2,,0,0,0
fifo,stream,103,342.9,27,0.4865,61.0,118,,0,0,0
fifo,stream,106,226.0,22,0.6923,139.5,245,,0,0,0
fifo,stream,105,211.2,11,0.9167,40.0,40,,0,1,0
fifo,stream,107,387.2,15,0.7895,23.75,7,,0,0,0
fifo,stream,108,227.0,15,0.8571,54.33,41,,0,0,0
fifo,stream,110,199.5,16,0.7273,80.0,142,,0,0,0
fifo,stream,109,132.3,17,0.7619,30.2,35,,0,0,0
fifo,stream,112,114.3,9,0.8889,6.0,6,,0,0,0
fifo,stream,111,352.4,23,0.931,40.0,26,,0,0,0
fifo,stream,114,185.0,11,1.0,0.0,0,,0,0,0
fifo,stream,117,111.0,9,0.8889,14.0,14,,0,0,0
fifo,stream,113,328.5,23,0.8621,32.75,45,,0,0,0
fifo,stream,118,109.6,7,0.6364,69.75,48,,0,0,0
fifo,stream,115,189.7,19,0.7143,22.17,32,,0,0,0
fifo,stream,116,124.7,15,0.875,26.5,26,,0,0,0
fifo,stream,119,207.5,15,0.8667,3.5,1,,0,0,0
fifo,stream,120,168.1,18,0.7619,22.2,30,,0,0,0
fifo,stream,124,112.8,11,1.0,0.0,0,,0,0,0
fifo,stream,125,242.3,17,0.85,69.0,73,,0,2,0
fifo,stream,123,5.9,3,0.6667,10.0,10,,0,1,0
fifo,stream,122,193.9,17,0.65,103.43,224,,0,0,0
fifo,stream,121,380.1,16,0.9,22.5,15,,0,0,0
fifo,stream,127,153.4,9,0.6667,175.67,230,,0,0,0
fifo,stream,126,264.4,15,0.8696,15.33,14,,0,0,0
fifo,stream,128,117.8,12,1.0,0.0,0,,0,0,0
fifo,stream,129,154.2,21,0.7407,28.71,36,,0,0,0
fifo,stream,130,247.8,12,0.75,34.5,48,,0,0,0
fifo,stream,131,87.6,5,0.8,9.0,9,,0,0,0
fifo,stream,132,357.7,18,0.85,37.67,9,,0,0,0
fifo,stream,133,243.3,14,1.0,0.0,0,,0,0,0
fifo,stream,134,399.2,20,0.92,12.5,8,,0,0,0
fifo,stream,135,238.7,20,0.8571,23.33,23,,0,0,0
fifo,stream,136,253.2,19,0.8519,37.75,33,,0,0,0
fifo,stream,137,261.3,17,0.8824,21.5,16,,0,0,0
fifo,stream,138,219.7,22,0.84,24.25,19,,0,0,0
fifo,stream,139,387.3,23,0.9333,31.0,30,,0,0,0
fifo,stream,140,253.6,18,0.9091,8.5,7,,0,0,0
fifo,stream,141,97.0,13,0.8462,24.5,8,,0,0,0
fifo,stream,142,288.9,20,0.9167,34.5,25,,0,0,0
fifo,stream,143,148.4,18,0.619,27.75,46,,0,0,0
fifo,stream,144,372.0,19,0.9545,6.0,6,,0,0,0
rush,wave,1,927.7,33,0.7778,245.22,357,,0,0,0
rush,wave,3,779.7,28,0.791,196.57,264,,0,0,0
rush,wave,2,543.6,35,0.6571,207.71,317,,0,0,0
rush,wave,4,856.7,32,0.825,172.07,278,,0,0,0
rush,wave,5,632.5,34,0.7424,249.0,370,,0,0,0
rush,wave,6,658.6,29,0.6316,138.36,278,,0,0,0
rush,wave,8,540.2,32,0.6786,173.72,285,,0,0,0
rush,wave,7,986.0,33,0.7059,209.2,374,,0,0,0
rush,wave,9,858.1,36,0.6076,178.87,318,,0,0,0
rush,wave,10,656.7,27,0.9038,173.2,241,,0,0,0
rush,wave,11,754.8,33,0.6812,172.5,321,,0,0,0
rush,wave,12,910.7,30,0.6812,203.05,352,,0,0,0
rush,wave,13,1078.6,32,0.6354,161.43,329,,0,1,0
rush,wave,14,926.4,38,0.6628,193.1,325,,0,0,0
rush,wave,15,848.9,35,0.7468,268.6,451,,0,0,0
rush,wave,16,814.3,36,0.6444,156.56,287,,0,0,0
rush,wave,17,921.9,34,0.6222,197.53,339,,0,1,0
rush,wave,18,668.0,35,0.7143,207.0,362,,0,0,0
rush,wave,20,805.1,34,0.6082,216.82,374,,0,1,0
rush,wave,19,884.5,36,0.6579,202.15,316,,0,0,0
rush,wave,21,1049.5,32,0.7284,207.86,424,,0,0,0
rush,wave,22,1115.0,31,0.6923,146.57,384,,0,0,0
rush,wave,23,1194.2,34,0.75,219.94,344,,0,0,0
rush,wave,24,759.0,32,0.6364,243.96,421,,0,0,0
rush,wave,26,901.3,28,0.6087,170.86,314,,0,1,0
rush,wave,25,739.9,43,0.716,237.96,364,,0,0,0
rush,wave,28,900.6,36,0.6932,223.96,395,,0,0,0
rush,wave,27,888.3,36,0.6374,195.61,372,,0,0,0
rush,wave,29,1181.4,26,0.8889,67.5,85,,0,0,0
rush,wave,30,840.9,30,0.6829,211.65,325,,0,1,0
rush,wave,31,1030.7,35,0.7805,142.0,287,,0,0,0
rush,wave,32,648.8,29,0.6543,158.71,323,,0,2,0
rush,wave,33,1078.4,31,0.6364,136.34,277,,0,1,0
rush,wave,34,833.0,30,0.5169,195.86,362,,0,0,0
rush,wave,35,813.5,31,0.6023,204.46,348,,0,1,0
rush,wave,36,654.6,34,0.5714,205.92,397,,0,0,0
rush,wave,37,1137.8,34,0.7708,245.45,385,,0,0,0
rush,wave,38,881.4,37,0.6353,215.84,369,,0,0,0
rush,wave,39,652.5,31,0.7397,192.63,299,,0,0,0
rush,wave,40,1136.4,34,0.6989,152.89,371,,0,0,0
rush,wave,42,1058.4,30,0.7174,203.69,371,,0,0,0
rush,wave,41,1177.8,35,0.7683,223.58,360,,0,0,0
rush,wave,43,1437.0,36,0.8021,200.26,357,,0,0,0
rush,wave,44,1106.4,36,0.6629,178.5,341,,0,0,0
rush,wave,45,919.1,22,0.9306,34.2,65,,0,0,0
rush,wave,46,849.7,37,0.6824,226.63,419,,0,0,0
rush,wave,47,792.0,37,0.5638,174.1,383,,0,0,0
rush,wave,48,1114.6,32,0.6974,222.78,401,,0,0,0
rush,wave,49,963.5,30,0.8182,158.94,320,,0,0,0
rush,wave,50,918.5,30,0.7927,166.71,316,,0,1,0
rush,wave,51,720.0,28,0.6892,195.09,409,,0,0,0
rush,wave,52,1096.7,32,0.8523,264.62,364,,0,0,0
rush,wave,53,728.6,27,0.9362,67.67,31,,0,0,0
rush,wave,54,1430.7,36,0.7912,245.37,374,,0,0,0
rush,wave,55,779.2,35,0.6588,179.28,366,,0,0,0
rush,wave,56,1074.4,36,0.7215,203.23,337,,0,0,0
rush,wave,57,716.8,37,0.6235,194.72,351,,0,0,0
rush,wave,58,723.5,30,0.6582,184.15,303,,0,0,0
rush,wave,60,906.9,21,1.0,0.0,0,,0,0,0
rush,wave,59,866.2,36,0.6889,192.32,347,,0,0,0
rush,wave,61,1045.7,34,0.8519,170.5,271,,0,0,0
rush,wave,62,852.3,31,0.7627,218.43,363,,0,1,0
rush,wave,63,715.6,25,0.6724,227.74,382,,0,0,0
rush,wave,64,606.6,28,0.5714,201.4,372,,0,0,0
rush,wave,65,749.4,36,0.6824,201.0,383,,0,0,0
rush,wave,66,1107.4,36,0.7955,184.67,413,,0,0,0
rush,wave,68,882.5,26,0.6769,171.86,357,,0,0,0
rush,wave,67,885.6,31,0.7,197.1,345,,0,0,0
rush,wave,69,855.7,34,0.8592,220.3,305,,0,0,0
rush,wave,71,845.1,28,0.7917,180.4,309,,0,0,0
rush,wave,70,1034.7,35,0.6538,142.56,287,,0,0,0
rush,wave,72,692.4,25,0.7736,143.0,297,,0,0,0
rush,wave,73,914.5,34,0.7123,173.1,312,,0,0,0
rush,wave,75,556.5,30,0.7581,166.6,266,,0,0,0
rush,wave,76,664.2,38,0.7385,192.88,363,,0,0,0
rush,wave,77,663.7,28,0.6094,197.36,344,,0,0,0
rush,wave,78,624.5,26,0.8621,148.5,257,,0,0,0
rush,wave,79,1013.5,39,0.75,216.21,374,,0,0,0
rush,wave,74,720.0,25,0.8033,188.75,335,,0,0,0
rush,wave,80,757.4,28,0.8281,174.55,299,,0,0,0
rush,wave,82,629.9,28,0.7344,154.88,280,,0,0,0
rush,wave,83,803.3,26,0.7636,157.46,274,,0,0,0
rush,wave,84,525.4,23,0.7955,126.56,237,,0,0,0
rush,wave,81,901.5,32,0.7344,171.41,314,,0,0,0
rush,wave,85,987.0,28,0.75,123.73,232,,0,0,0
rush,wave,86,434.4,29,0.7963,145.73,248,,0,0,0
rush,wave,87,670.1,26,0.7551,145.17,230,,0,0,0
rush,wave,88,1036.7,27,0.7959,130.2,238,,0,0,0
rush,wave,90,692.5,28,0.8235,120.33,225,,0,0,0
rush,wave,89,943.7,21,0.82,258.0,396,,0,0,0
rush,wave,91,494.2,29,0.8667,185.0,214,,0,0,0
rush,wave,92,486.0,24,0.8293,137.0,180,,0,0,0
rush,wave,93,550.4,22,0.8919,123.0,163,,0,0,0
rush,wave,94,676.4,27,0.6909,108.88,215,,0,0,0
rush,wave,96,391.7,20,0.8529,183.4,220,,0,0,0
rush,wave,95,564.3,24,0.8636,122.5,187,,0,0,0
rush,wave,97,353.2,17,0.8929,136.0,169,,0,0,0
rush,wave,98,385.7,17,0.8462,98.5,142,,0,0,0
rush,wave,100,280.1,16,0.7692,92.0,163,,0,0,0
rush,wave,99,499.9,18,0.8684,66.2,100,,0,0,0
rush,wave,101,546.7,19,0.8649,131.4,155,,0,0,0
rush,wave,104,364.2,18,0.9583,77.0,77,,0,0,0
rush,wave,103,340.0,22,0.8065,129.17,164,,0,0,0
rush,wave,102,627.9,26,0.8444,169.71,204,,0,0,0
rush,wave,105,368.8,18,0.9355,104.0,81,,0,0,0
rush,wave,108,254.7,17,0.9524,5.0,5,,0,0,0
rush,wave,107,476.2,20,0.8108,88.57,161,,0,0,0
rush,wave,106,784.7,27,0.8605,155.0,259,,0,0,0
rush,wave,109,386.6,19,0.9286,147.0,100,,0,0,0
rush,wave,112,131.1,10,0.9,53.0,23,,0,0,0
rush,wave,110,301.0,20,0.8966,85.67,46,,0,0,0
rush,wave,111,422.5,16,0.9333,141.5,138,,0,0,0
rush,wave,116,145.5,5,1.0,0.0,0,,0,0,0
rush,wave,113,379.8,15,0.8966,69.67,93,,0,0,0
rush,wave,117,286.8,9,1.0,0.0,0,,0,0,0
rush,wave,115,599.6,14,0.95,114.0,114,,0,0,0
rush,wave,114,174.6,16,0.8462,106.25,177,,0,0,0
rush,wave,118,177.9,9,0.9333,29.0,29,,0,0,0
rush,wave,119,138.2,11,0.9231,60.0,60,,0,0,0
rush,wave,120,351.2,13,0.96,130.0,130,,0,0,0
rush,wave,124,198.6,12,0.7857,64.33,48,,0,0,0
rush,wave,122,387.1,19,0.8846,93.33,138,,0,0,0
rush,wave,121,435.6,15,0.8947,100.0,20,,0,0,0
rush,wave,127,155.8,9,0.8824,34.0,16,,0,0,0
rush,wave,125,371.7,17,0.9545,154.0,154,,0,0,0
rush,wave,123,325.8,18,0.9333,158.0,120,,0,0,0
rush,wave,126,344.7,23,0.7674,123.4,199,,0,0,0
rush,wave,128,305.9,11,0.8636,52.67,56,,0,0,0
rush,wave,131,267.7,14,0.913,67.0,7,,0,0,0
rush,wave,130,760.6,17,0.9756,14.0,14,,0,0,0
rush,wave,129,487.8,17,0.8919,102.75,98,,0,0,0
rush,wave,133,352.8,14,1.0,0.0,0,,0,0,0
rush,wave,134,278.5,16,0.8519,119.25,143,,0,0,0
rush,wave,132,346.7,20,0.9655,179.0,179,,0,1,0
rush,wave,135,438.5,24,0.8571,167.6,200,,0,0,0
rush,wave,136,374.8,17,0.931,100.0,26,,0,0,0
rush,wave,139,292.6,12,0.913,42.5,12,,0,0,0
rush,wave,137,405.4,19,0.7273,93.56,184,,0,0,0
